genes,aliases
A1BG,"['Alpha-1-B glycoprotein', 'A1B', 'HYST2477', 'HEL-S-163pA', 'epididymis secretory sperm binding protein Li 163pA']"
A1CF,"['apobec-1 complementation factor (ACF) (ASP)', 'APOBEC1CF', 'APOBEC1 complementation factor']"
A2M,"['C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5', 'FWP007', 'S863-7', 'CPAMD5', 'Alpha-2-M', 'Alpha-2-macroglobulin']"
A2ML1,"['C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9', 'FLJ25179', 'p170', 'CPAMD9']"
A3GALT2,"['alpha 1,3-galactosyltransferase 2, pseudogene', 'iGb3 synthase', 'Isoglobotriaosylceramide synthase', 'A3GALT2P', 'EC 2.4.1.87']"
A4GALT,"['alpha 1,4-galactosyltransferase (globotriaosylceramide synthase, P blood group)', 'Alpha4Gal-T1', 'GB3 synthase', 'P(k)', 'Globotriaosylceramide synthase', 'P1PK', 'P1/Pk synthase', 'P blood group (P one antigen)', 'Alpha-1,4-N-acetylglucosaminyltransferase', 'Alpha-1,4-galactosyltransferase', 'EC 2.4.1.228']"
A4GNT,"['Alpha-1,4-N-acetylglucosaminyltransferase', 'Alpha4GnT', 'EC 2.4.1.-']"
AAA1,"['aortic aneurysm, familial abdominal 1', 'AAA1 protein, isoform CRA_a']"
AAAS,"['achalasia, adrenocortical insufficiency, alacrimia', 'ADRACALIN', 'achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A)', 'aladin WD repeat nucleoporin', 'GL003']"
AACS,"['Acyl-CoA synthetase family member 1', 'FLJ12389', 'SUR-5', 'ACSF1', 'homolog of C. elegans supressor of ras 5 (sur-5)', 'Protein sur-5 homolog', 'EC 6.2.1.16']"
AADAC,"['arylacetamide deacetylase (esterase)', 'CES5A1', 'EC 3.1.1.79']"
AADACL2,"['Arylacetamide deacetylase-like 2', 'MGC72001', 'EC 3.1.1.-']"
AADACL3,"['Arylacetamide deacetylase-like 3', 'OTTHUMG00000001887', 'EC 3.1.1.-']"
AADACL4,"['Arylacetamide deacetylase-like 4', 'OTTHUMG00000001889', 'EC 3.1.1.-']"
AADAT,"['Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial', 'KAT/AadAT', 'EC 2.6.1.39']"
AAGAB,"['Alpha- and gamma-adaptin-binding protein p34', 'FLJ11506', 'p34', 'PPKP1A']"
AAK1,"['AP2-associated protein kinase 1', 'KIAA1048', 'DKFZp686K16132', 'EC 2.7.11.1']"
AAMDC,"['Adipogenesis associated Mth938 domain-containing protein', 'PTD015', 'FLJ21035', 'C11orf67', 'chromosome 11 open reading frame 67', 'UPF0366 protein C11orf67']"
AAMP,['Angio-associated migratory cell protein']
AANAT,"['arylalkylamine N-acetyltransferase', 'AA-NAT', 'DSPS', 'EC 2.3.1.87']"
AAR2,"['AAR2 splicing factor homolog (S. cerevisiae)', 'bA234K24.2', 'chromosome 20 open reading frame 4', 'C20orf4', 'CGI-23']"
AARD,"['Alanine and arginine-rich domain-containing protein', 'LOC441376', 'chromosome 8 open reading frame 85', 'C8orf85']"
AARS1,"['alanyl-tRNA synthetase, cytoplasmic', 'CMT2N', 'AlaRS', 'EIEE29', 'HDLS2', 'TTD8', 'Renal carcinoma antigen NY-REN-42', 'EC 6.1.1.7']"
AARS2,"['alanyl-tRNA synthetase 2, mitochondrial (putative)', 'KIAA1270', 'bA444E17.1', 'MT-ALARS', 'COXPD8', 'LKENP', 'EC 6.1.1.7']"
AARSD1,"['Alanyl-tRNA synthetase domain-containing protein 1', 'MGC2744', 'AlaXp']"
