Rank,Feature,Score,Expression,Detection,P-value,Adjusted p-value
1,PLVAP,36288,1.47817013,95.09954058,2.38e-25,7.42e-22
2,DDIT4,57352050,0.890126879,88.43797856,7.53e-21,1.17e-17
3,HSPG2,181585152,1.279719938,95.17611026,3.37e-20,3.5e-17
4,VWA1,3271091040,1.458710438,83.53751914,1.28e-18,9.99e-16
5,SLC9A3R2,53947555200,0.70360498,84.15007657,3.78e-17,2.36e-14
6,RBP7,1.58e+11,1.373533324,70.2143951,1.33e-16,6.92e-14
7,SOX18,4.34e+11,1.080529221,75.34456355,4.3e-16,1.92e-13
8,SPRY1,9.66e+11,1.014341969,78.33078101,1.08e-15,4.19e-13
9,A2M,2.95e+12,0.74494305,91.73047473,3.8e-15,1.21e-12
10,ID3,3e+12,0.610563974,84.30321593,3.87e-15,1.21e-12
11,IGKC,5.23e+12,0.713615824,87.90199081,7.2e-15,2.04e-12
12,SCGB3A1,1.73e+13,0.80260335,90.73506891,2.71e-14,6.66e-12
13,ID1,1.86e+13,0.597397139,81.85298622,2.92e-14,6.66e-12
14,GSN,1.9e+13,0.76694038,89.96937213,2.99e-14,6.66e-12
15,SCGB3A2,2.69e+13,0.916322689,83.23124043,4.38e-14,8.81e-12
16,COL15A1,2.77e+13,1.373678993,66.99846861,4.52e-14,8.81e-12
17,HES1,7.76e+13,0.62712998,76.64624809,1.38e-13,2.52e-11
18,CD34,8.62e+13,0.948805314,81.47013783,1.54e-13,2.67e-11
19,PLPP1,1.95e+14,0.813218294,73.27718224,3.68e-13,6.04e-11
20,SNX3,4.16e+14,0.678277907,87.36600306,8.19e-13,1.28e-10
21,FLT1,6.52e+14,0.769297381,77.64165391,1.31e-12,1.95e-10
22,ID2,8.12e+14,0.69164165,75.65084227,1.65e-12,2.34e-10
23,TSC22D1,9.45e+14,0.658803445,84.22664625,1.93e-12,2.62e-10
24,PODXL,2.59e+15,0.639148864,75.80398162,5.47e-12,7.1e-10
25,PTMA,3.06e+15,0.552523488,96.0949464,6.49e-12,8.09e-10
26,CRIP2,5.2e+15,0.662167056,91.42419602,1.12e-11,1.34e-09
27,IGFBP4,1.57e+16,0.503778928,82.84839204,3.4e-11,3.79e-09
28,MMP2,1.57e+16,1.12762077,66.99846861,3.4e-11,3.79e-09
29,ENG,1.84e+16,0.521930288,85.22205207,3.98e-11,4.28e-09
30,ITGA6,2.41e+16,0.686056985,71.89892802,5.22e-11,5.43e-09
31,ETS1,2.85e+16,0.743655803,73.81316998,6.16e-11,6.2e-09
32,NAA38,3.15e+16,0.710149753,78.10107198,6.81e-11,6.64e-09
33,APOLD1,4.69e+16,0.902423889,52.67993874,1.01e-10,9.53e-09
34,CTNNB1,5.53e+16,0.594711957,72.43491577,1.19e-10,1.09e-08
35,RAB13,6.79e+16,0.705599872,77.79479326,1.45e-10,1.29e-08
36,BCAM,8.31e+16,0.531943811,83.6906585,1.77e-10,1.53e-08
37,NFIB,1.43e+17,0.592503843,80.16845329,3.01e-10,2.53e-08
38,CD9,2.08e+17,0.450666443,79.7856049,4.32e-10,3.54e-08
39,PIK3R3,2.84e+17,0.684373241,61.17917305,5.83e-10,4.66e-08
40,PINK1,3.21e+17,0.896679712,57.50382848,6.57e-10,5.12e-08
41,FAM167B,4.63e+17,0.732526805,60.6431853,9.33e-10,7.09e-08
42,RDX,6.07e+17,0.492202374,78.33078101,1.21e-09,8.96e-08
43,EHD4,7.9e+17,0.800099801,69.52526799,1.55e-09,1.12e-07
44,TSPAN13,1.14e+18,0.678343443,58.4992343,2.19e-09,1.53e-07
45,TMEM88,1.15e+18,0.629886665,55.74272588,2.21e-09,1.53e-07
46,LMNA,1.49e+18,0.410913768,75.57427259,2.82e-09,1.91e-07
47,MTUS1,2.03e+18,0.800437839,60.79632466,3.77e-09,2.5e-07
48,GUK1,2.23e+18,0.3899834,81.5467075,4.12e-09,2.67e-07
49,ELK3,3.24e+18,0.630316381,63.85911179,5.83e-09,3.66e-07
50,TMEM204,3.26e+18,0.404516081,73.66003063,5.87e-09,3.66e-07
