"Feature","GSM468603.CEL.x","GSM468604.CEL.x","GSM468621.CEL.x","GSM468605.CEL","GSM468607.CEL","GSM468609.CEL.x","GSM468610.CEL.x","GSM468611.CEL.x","GSM468622.CEL.x","GSM468612.CEL","GSM468615.CEL.x","GSM468616.CEL.x","GSM468623.CEL.x","GSM468617.CEL","GSM468618.CEL","GSM468606.CEL","GSM468608.CEL","GSM468613.CEL","GSM468614.CEL","GSM468619.CEL","GSM468620.CEL"
"A1BG",3.562489085,3.829085725,3.697244887,3.752228752,3.597207284,3.705307376,3.538132809,3.555108885,4.051012912,3.910067771,3.87123113,3.609394458,3.83185139,3.640522856,3.838392874,3.768274394,3.896481393,4.119672162,3.540850216,3.749376177,3.737601038
"A2M",8.106047911,6.49754242,5.410576924,7.24827366,6.459956467,8.283550684,6.680301732,7.286739937,5.673361637,6.390522506,9.352450508,7.826484201,6.814983882,8.121867619,7.075308011,7.555813761,5.762496395,7.596026086,5.523598325,8.27803718,6.374244817
"NAT1",7.914207292,7.875785365,7.321157678,7.474573495,7.474849477,7.660689196,7.457476142,7.085893947,7.293762417,7.357852277,7.897202704,7.938058255,7.415109122,7.648437659,7.980301068,7.156244385,7.205253399,6.576564372,6.921712012,7.382948129,7.125371171
"AADAC",4.39999951,4.561014773,5.004549872,4.781699239,4.696020464,4.450992809,4.567703425,4.537709228,5.071598073,4.036014442,4.664023469,4.567703425,5.177148205,5.048697955,5.204487945,4.33084744,4.280826456,4.348341236,3.88367792,4.619083336,4.034868124
"AAMP",8.707350519,8.717857681,8.654950851,8.652766292,8.896637839,8.808063428,8.660449035,8.668116928,8.581140066,8.742110165,8.722538118,8.742755563,8.667009986,8.86066153,8.917711278,8.730377077,8.94307838,8.73316521,8.687078706,8.711127178,8.869430382
"AARS1",9.272910938,9.098057279,9.399023244,9.144089116,9.05241032,9.091714372,9.127593954,9.054946794,9.282541191,8.963613245,9.506250593,10.01866009,9.977593822,9.540465508,9.422800981,9.226137752,9.467127528,9.202055583,9.223428862,9.961974405,10.39846576
"ABAT",3.848821149,3.382620393,3.530108444,3.754596851,3.696062794,3.576891541,3.525203065,3.279694634,3.978759115,4.253508666,2.993653406,2.842118048,3.088040559,3.342128877,3.061186335,3.398948439,2.978999156,3.197596414,3.527431113,3.422434324,3.126312092
"ABCA1",7.493028403,7.568856746,7.107284352,6.139124482,5.491991004,7.410521475,7.812082335,5.782367447,6.998622436,5.916821083,6.489693249,7.291863341,6.587081883,5.16819331,4.713206647,7.595629873,7.404025521,7.136999096,7.524331963,6.386887043,6.476570862
"ABCA2",4.687169584,4.824375866,4.884222349,4.800821131,5.147722315,4.461893929,5.022315695,4.67933245,4.969610476,4.887491591,4.762666799,5.016362796,5.06904838,4.596100399,4.833526421,4.763191989,5.216803339,4.939305412,4.901340586,4.84291167,4.59282474
"ABCA3",6.636658922,6.738304219,6.307881365,6.550225755,6.846110624,6.285335423,6.907079545,6.213030647,6.673102383,6.775774459,6.222323478,6.618050079,6.261425775,6.374440791,6.522339049,6.948918159,7.185601834,6.549265029,6.873320495,6.974774096,6.605412563
