"Feature","GSM926651_Boeckel_K2.CEL","GSM926652_Boeckel_K3.CEL","GSM926653_Boeckel_K4.CEL","GSM926654_Boeckel_S2.CEL","GSM926655_Boeckel_S3.CEL","GSM926656_Boeckel_S4.CEL","GSM926657_Boeckel_K2.CEL","GSM926658_Boeckel_K3.CEL","GSM926659_Boeckel_K4.CEL","GSM926660_Boeckel_S2.CEL","GSM926661_Boeckel_S3.CEL","GSM926662_Boeckel_S4.CEL"
"A1BG",7.862887732,8.180885196,7.750111612,7.967093329,7.853706728,7.990057033,7.862887732,8.180885196,7.750111612,7.967093329,7.853706728,7.990057033
"NAT2",4.377501012,4.854897153,4.760909753,4.69395423,4.286823046,4.660032464,4.377501012,4.854897153,4.760909753,4.69395423,4.286823046,4.660032464
"ADA",10.27542454,10.6475102,10.29551928,10.18704893,10.2508998,10.27876737,10.27542454,10.6475102,10.29551928,10.18704893,10.2508998,10.27876737
"CDH2",11.18335287,11.11857024,11.00278669,11.2399387,10.96122632,11.00379591,11.18335287,11.11857024,11.00278669,11.2399387,10.96122632,11.00379591
"NR2E3",6.818281217,6.955903762,6.54630851,6.8175909,6.682152863,6.874896768,6.818281217,6.955903762,6.54630851,6.8175909,6.682152863,6.874896768
"NAALAD2",4.777326359,4.889918276,4.960310657,4.866491742,4.852465923,4.865775206,4.777326359,4.889918276,4.960310657,4.866491742,4.852465923,4.865775206
"NAALADL1",7.303057564,7.515814975,7.042592927,7.254442799,7.19393803,7.182514712,7.303057564,7.515814975,7.042592927,7.254442799,7.19393803,7.182514712
"ACOT8",9.035605945,9.137532984,9.018199212,9.164391218,9.394953139,9.302736515,9.035605945,9.137532984,9.018199212,9.164391218,9.394953139,9.302736515
"ABI1",10.33211596,10.31649002,10.3318819,10.36548668,10.3832779,10.35354163,10.33211596,10.31649002,10.3318819,10.36548668,10.3832779,10.35354163
"GNPDA1",10.03972915,9.766993044,9.853262045,9.993468067,9.765861397,9.717271214,10.03972915,9.766993044,9.853262045,9.993468067,9.765861397,9.717271214
"KCNE3",5.552343393,5.629780366,5.218934996,5.309035222,5.715981512,5.547078488,5.552343393,5.629780366,5.218934996,5.309035222,5.715981512,5.547078488
"ZBTB33",11.12035857,11.19092128,11.31541065,11.31660506,11.29306196,11.37638888,11.12035857,11.19092128,11.31541065,11.31660506,11.29306196,11.37638888
"CDH3",6.683106095,6.810430235,6.587524663,6.700711239,6.693085806,6.693835161,6.683106095,6.810430235,6.587524663,6.700711239,6.693085806,6.693835161
"TANK",10.38622849,10.06463345,10.54650307,10.58882543,10.63600353,10.66819043,10.38622849,10.06463345,10.54650307,10.58882543,10.63600353,10.66819043
"ZSCAN30",7.569506305,7.705212214,7.63292066,7.534539,7.656125688,7.631002921,7.569506305,7.705212214,7.63292066,7.534539,7.656125688,7.631002921
"SRA1",9.303281418,9.400627587,9.214239206,9.245996542,9.193142434,9.200593209,9.303281418,9.400627587,9.214239206,9.245996542,9.193142434,9.200593209
"SLCO4A1-AS1",7.616773411,7.71356639,7.537437716,7.564720153,7.504320533,7.554373231,7.616773411,7.71356639,7.537437716,7.564720153,7.504320533,7.554373231
"HGC6.3",8.110684199,8.121715934,7.73550317,8.29837516,8.014708019,8.137761887,8.110684199,8.121715934,7.73550317,8.29837516,8.014708019,8.137761887
