"Feature","GSM1113592.CEL","GSM1113593.CEL","GSM1113594.CEL","GSM1113598.CEL","GSM1113599.CEL","GSM1113600.CEL","GSM1113595.CEL","GSM1113596.CEL","GSM1113597.CEL","GSM1113601.CEL","GSM1113602.CEL","GSM1113603.CEL","GSM1113604.CEL.x","GSM1113605.CEL.x","GSM1113606.CEL.x","GSM1113607.CEL","GSM1113608.CEL","GSM1113609.CEL","GSM1113610.CEL","GSM1113611.CEL","GSM1113612.CEL","GSM1113613.CEL","GSM1113614.CEL","GSM1113615.CEL"
"A1BG",2.433926137,2.410291222,2.478173125,2.431498224,2.439398754,2.398353632,2.477804968,2.400307545,2.444424268,2.38788153,2.367815566,2.502193015,2.4322962,2.454267146,2.461106222,2.410988435,2.416383745,2.454538178,2.541612342,2.389806313,2.429818801,2.349411161,2.436140433,2.478202959
"A2M",2.350789373,2.323800913,2.393512403,2.369316431,2.373163707,2.329755441,2.330725285,2.452155052,2.336506368,2.345217104,2.424827657,2.402224056,2.393512403,2.394538251,2.374221681,2.404801802,2.459236789,2.431641442,2.324190874,2.419464474,2.391490098,2.423042596,2.429643505,2.325503032
"NAT1",2.401724281,2.411145271,2.37727681,2.34616459,2.359196346,2.326160943,2.314309626,2.409916427,2.29778803,2.34346145,2.352373114,2.43180095,2.41649364,2.424001351,2.390227124,2.390792572,2.35879826,2.401069353,2.347588896,2.468265417,2.318949338,2.362450103,2.394281913,2.417652159
"NAT2",2.444702407,2.493784,2.467382843,2.44813589,2.405581287,2.392854671,2.382114189,2.389304958,2.389304958,2.280407478,2.407337462,2.428762276,2.346181556,2.321319033,2.396569732,2.398225482,2.369170368,2.42045098,2.336247731,2.388594344,2.358202616,2.342747198,2.339175794,2.37267748
"SERPINA3",2.415313537,2.38642161,2.431083859,2.419266743,2.372210428,2.431819393,2.407250007,2.342611949,2.492085344,2.476689169,2.405811737,2.376353996,2.442439026,2.451708855,2.452543295,2.34387677,2.428539988,2.356856088,2.505942365,2.559781676,2.415869909,2.593696902,2.634507033,2.571227603
"AADAC",2.423681287,2.46180514,2.412177316,2.463727132,2.420567289,2.445310338,2.372870034,2.374519789,2.419464474,2.42045098,2.347995114,2.376353996,2.607582565,2.567369004,2.542475754,2.55368087,2.500008777,2.630177785,2.813701792,2.744410409,2.740438384,2.877311601,2.887572249,2.854035013
"AAMP",3.16144337,3.185036116,3.13284901,3.136618138,3.143120674,3.171983573,3.141064203,3.149309667,3.160069882,3.17943247,3.157596896,3.143240836,3.152784845,3.146642326,3.144799389,3.169420364,3.171777826,3.161195822,3.208488615,3.201838077,3.17584719,3.178366644,3.189803903,3.159601332
"AANAT",2.310634875,2.263151199,2.313403078,2.331791772,2.382686352,2.321339178,2.202597351,2.32340282,2.29678517,2.322257766,2.274640422,2.284360488,2.300758148,2.318655976,2.311406258,2.309043051,2.299638327,2.313523888,2.320973753,2.315023301,2.285579456,2.29776671,2.341403659,2.300956214
"AARS1",3.520526124,3.513636978,3.522814478,3.525671628,3.512172708,3.517199086,3.524328702,3.507083466,3.524196275,3.512505809,3.507083466,3.490398686,3.597214466,3.562597125,3.581224318,3.548271483,3.57568685,3.551802122,3.55689695,3.545512394,3.558131021,3.546954696,3.507214284,3.533340076
"ABAT",2.349248298,2.412820391,2.324697766,2.372888704,2.332239977,2.408142452,2.441089955,2.399367185,2.395630661,2.384446269,2.414455115,2.387526045,2.467852162,2.385183773,2.482583305,2.342747198,2.431498224,2.316652647,2.343563423,2.431933168,2.34025061,2.323783225,2.386994971,2.349392792
