"Feature","HUVEC_scr_siRNA_1.CEL","HUVEC_USP10_siRNA_DLL4_1.CEL","HUVEC_USP10_siRNA_DLL4_2.CEL","HUVEC_USP10_siRNA_DLL4_3.CEL","HUVEC_USP10_siRNA_2.CEL","HUVEC_USP10_siRNA_3.CEL","HUVEC_scr_siRNA_DLL4_1.CEL","HUVEC_scr_siRNA_DLL4_2.CEL","HUVEC_scr_siRNA_DLL4_3.CEL","HUVEC_USP10_siRNA_1.CEL","HUVEC_scr_siRNA_2.CEL","HUVEC_scr_siRNA_3.CEL"
"A1BG",5.323908419,5.151159709,5.294362285,5.212139668,4.976666949,5.205222796,5.407360349,5.044058726,5.146637442,5.151087658,5.164532246,5.138668585
"NAT2",2.591254884,2.546265757,2.637385916,2.443178874,2.860615962,2.532843272,2.567846075,2.571654941,2.363350499,2.524339545,2.41835756,2.46027506
"ADA",7.435975629,8.314079346,8.282781412,8.28369431,8.157594347,7.77516285,8.324603015,8.508494321,8.45001235,7.844585667,7.560512183,7.548403621
"CDH2",9.809797044,9.866238884,10.00525977,9.910836072,10.11594542,9.995265641,9.52188902,9.568308576,9.44526962,10.03183702,9.833793807,9.72241135
"AKT3",8.517481135,8.999444608,9.084808018,8.894049352,8.783269648,8.701128033,8.762887632,8.854306595,8.835452764,8.668770211,8.557880417,8.532179535
"LINC02584",3.663540416,3.923690515,3.909636686,3.981336218,3.576517608,3.519383726,3.630706927,4.039823672,3.897246184,3.596433486,3.932269272,3.639496877
"ZBTB11-AS1",6.029017955,5.809831984,5.879209356,6.014294076,5.624942403,6.009249871,6.033975266,5.700169166,5.708387281,5.640371158,5.771750253,5.890301731
"NR2E3",4.215662287,4.717249034,4.281267354,4.376355469,4.393918679,4.43222601,4.304048974,4.338806061,4.520767858,4.35751944,4.425652503,4.548812253
"NAALAD2",2.987589239,3.170303885,3.124928715,3.07116465,2.844584978,3.701284737,2.895768434,3.309758788,3.560325248,3.231152649,3.229460059,3.090551674
"SNORD116-1",6.153661808,6.776520192,6.361233296,6.162060304,6.405333187,6.172273222,6.087286191,6.243914265,6.422410166,6.196521829,5.99738952,6.157835182
"SNORD116-10",2.860560271,3.064546823,2.361337146,3.18156656,2.921658029,2.609291013,2.445934118,2.923554953,2.93068719,2.649497714,2.981267381,2.791470687
"SNORD116-11",4.018898442,3.971783647,3.955044159,4.670637398,4.020544227,4.893542906,3.896518458,4.555876735,4.448713425,4.866538115,4.836593499,3.947113754
"SNORD116-12",2.22965005,2.969193607,2.465941277,2.544125389,3.1208781,2.670151883,2.335655731,3.10978937,2.097391443,2.702655415,2.70806413,3.137834468
"SNORD116-13",2.752453482,3.587887921,3.01519305,2.131121173,3.142465106,3.394135624,3.454947009,2.85942735,3.452377988,3.595864358,2.460317427,3.254127136
"SNORD116-14",10.47229536,10.70885667,10.48833778,10.7228973,10.67100621,10.48890758,10.61973041,10.60898084,10.65422067,10.61434312,10.50173468,10.6951308
"SNORD116-15",11.69526053,11.79867592,11.68870944,11.89437021,11.79331656,11.62982596,11.79248826,11.85566728,11.84484708,11.78246339,11.674066,11.84170992
"SNORD116-16",1.992863311,1.738643856,1.959815044,1.989261947,2.100066819,1.848519843,2.242206763,2.263397615,2.369818322,2.025506235,1.688140077,1.765062402
"SNORD116-18",2.393847728,2.609025002,2.37502216,2.160414649,2.220150692,2.279218125,2.013753566,2.303368572,1.723483537,2.63448165,2.131053046,2.013753566
"SNORD116-23",3.180879249,3.270049484,3.167714604,3.137787411,3.167198257,3.217004765,3.173760321,3.147830699,3.018391463,3.154510188,3.169329809,3.169004268
"SNORD116-24",10.95562943,11.44591265,11.18356585,11.37350859,11.24666916,11.30565705,11.38498517,11.40696281,11.54560455,11.37702472,11.19312429,11.45135632
