"Feature","control.siRNA_PBS_rep1","control.siRNA_PBS_rep2","control.siRNA_PBS_rep3","KDR.siRNA_PBS_rep1","KDR.siRNA_PBS_rep2","KDR.siRNA_PBS_rep3","control.siRNA_VEGF_rep1","control.siRNA_VEGF_rep2","control.siRNA_VEGF_rep3","KDR.siRNA_VEGF_rep1","KDR.siRNA_VEGF_rep2","KDR.siRNA_VEGF_rep3"
"A1BG",4,0,4,1,2,2,1,2,2,1,3,0
"A2M",50,66,47,51,44,32,154,141,237,54,39,63
"A2MP1",0,0,0,0,0,0,0,0,0,0,0,0
"NAT1",202,189,210,250,190,215,188,199,206,250,210,222
"NAT2",1,0,0,1,1,0,0,2,1,1,2,3
"SERPINA3",0,0,0,0,0,0,0,0,0,0,0,0
"AADAC",82,73,55,56,54,44,90,74,38,59,66,56
"AAMP",2439,2131,2407,3353,3509,3304,2537,2476,2718,3143,3288,2729
"AANAT",0,0,0,0,0,1,0,0,0,1,0,0
"AARS1",4720,4183,4479,5376,4804,4334,5994,6332,7226,4641,4529,3983
"ABAT",19,26,38,27,20,31,17,15,13,25,29,24
"ABCA1",245,236,349,342,279,220,189,196,250,252,198,282
"ABCA2",646,586,644,692,593,583,585,593,776,558,479,576
"ABCA3",3762,3643,4257,4429,3769,3802,3919,3584,4320,3696,3494,3824
"ABCB7",448,379,485,588,538,449,449,464,506,485,570,556
"ABCF1",3844,3421,3579,5049,4444,3966,4117,3795,3958,4355,4647,3918
"ABCA4",55,45,46,55,52,43,50,36,48,48,44,43
"ABL1",4197,3718,3826,5263,3414,3907,3980,3651,3826,3989,3855,3919
"AOC1",0,0,0,0,0,0,0,0,0,0,0,0
"ABL2",5873,5229,4930,6985,4051,4370,7132,5992,5728,4788,4845,4603
"ABO",0,0,0,0,0,0,3,0,1,2,1,1
"ABR",2794,2688,3102,3485,2740,2765,2976,2811,3386,2797,2751,2678
"ACAA1",1245,1137,1179,1574,1524,1406,1246,1174,1261,1459,1517,1140
"ACACA",3492,3419,4135,4275,3066,2914,3362,3325,3797,3037,2712,3181
"ACACB",85,91,104,104,96,95,54,48,80,114,70,84
"ACADL",0,0,0,0,0,0,0,0,0,0,0,0
"ACADM",762,742,759,984,906,868,886,823,931,950,918,910
"ACADS",181,157,193,188,211,183,160,168,193,178,175,149
"ACADSB",297,281,337,304,264,247,361,336,383,292,282,281
"ACADVL",5438,4990,5324,6219,6325,5429,5570,5344,5385,5781,5317,4807
"ACAT1",2453,2046,2275,2764,2559,2459,2463,2355,2534,2424,2782,2379
"ACAT2",2061,1878,2359,2596,3243,2558,1702,1754,1962,2597,2648,2541
"ASIC2",0,1,0,0,0,2,2,0,0,0,0,1
"ASIC1",11,4,11,6,5,8,4,4,6,5,5,14
"ACHE",36,35,16,32,15,22,45,28,24,24,24,10
"ACLY",10619,10089,11342,13479,11188,9902,10130,9700,10889,11199,10674,10789
"ACO1",1572,1553,2043,1993,2602,2106,1635,1529,2195,1821,1494,2423
"ACR",39,43,25,33,36,23,25,37,19,26,32,28
"ACO2",2908,2654,2860,3287,3057,2612,3233,2988,3222,3048,3076,2823
"ACOX1",946,905,964,1019,950,841,859,792,1009,859,831,866
"ACP1",1765,1534,1661,2025,2178,1856,1807,1733,1729,1899,2043,1950
"ACP2",835,786,844,1088,967,856,898,788,793,983,1061,734
"ACP5",35,31,40,89,75,37,27,29,36,73,73,58
"ACP3",0,0,0,0,0,0,0,0,0,0,0,0
"ACRV1",3,0,0,0,2,0,1,0,0,2,2,6
"ACTA1",7,7,5,1,3,0,5,3,1,1,1,0
"ACTA2",299,303,241,319,227,236,293,246,191,298,281,209
"ACTB",99914,87465,89105,122485,117042,107869,93371,87233,93829,110021,115992,101315
"ACTC1",1,3,0,1,0,2,0,1,2,1,2,1
"ACTG1",84135,77500,88776,106097,112865,97675,86622,83452,102631,96992,102463,105321
"ACTG2",0,0,0,0,0,0,1,0,0,0,0,0
"ACTN4",16096,14935,16663,18424,15257,13007,16929,16208,18755,14774,15135,14546
"ACTL6A",1600,1442,1571,2148,1819,1957,1707,1551,1731,2029,1976,1988
"ACTN1",16595,15264,16959,20076,16740,15137,18678,18561,21631,16415,16078,16692
"ACTN2",857,792,397,420,138,253,936,631,212,482,611,153
"ACTN3",3,4,0,4,5,3,1,3,0,2,1,3
"ACVR1",1356,1256,1262,1666,1311,1263,1642,1550,1510,1414,1400,1254
"ACVR1B",944,835,967,1515,1127,1166,845,832,753,1238,1241,1198
"ACVR2A",196,169,184,230,212,187,194,200,186,219,231,202
"ACVR2B",83,73,108,199,192,190,80,76,110,146,173,175
"ACVRL1",10275,9297,10945,11125,11157,9709,7345,6966,7843,9258,9504,9520
"ACY1",10,12,15,13,29,26,15,20,30,15,22,15
"ACYP1",161,132,146,239,292,174,148,121,133,197,236,215
"ACYP2",84,71,61,90,108,60,78,68,55,84,81,82
"ADA",313,350,415,453,585,371,259,327,393,397,395,423
"ADAM8",67,61,60,71,61,64,46,39,38,68,40,54
"ADAM10",4002,4016,4876,5671,4247,4026,4873,5175,5972,4461,4393,5017
"ADAR",12308,11586,12863,14038,8286,8501,12010,11527,11281,10578,11103,8496
"ADARB1",1084,1153,1449,1407,1328,1072,1024,1105,1396,1043,1089,1225
"ADARB2",0,0,0,0,0,0,0,0,0,1,0,0
"ADCY1",9,10,9,11,5,19,15,9,9,19,10,7
"ADCY2",0,0,0,0,1,0,0,0,0,0,0,0
"ADCY3",924,841,843,1055,813,840,961,879,870,881,893,821
"ADCY5",0,0,0,0,0,0,1,0,0,0,0,0
"ADCY6",982,912,1023,1228,1151,1000,1063,1066,1248,994,896,1019
"ADCY7",378,383,373,392,235,236,355,317,314,250,248,256
"ADCY8",0,0,0,1,0,1,0,2,0,0,0,0
"ADCY9",377,363,374,507,365,307,387,356,350,341,306,332
"ADCYAP1",1,0,2,2,1,0,1,1,0,0,0,0
"ADCYAP1R1",1,0,0,0,0,0,0,2,0,0,0,1
"ADD1",7078,6691,7917,8989,8087,7369,6720,6657,7686,7530,7249,7435
"ADD2",103,87,108,119,85,96,121,162,159,99,83,91
"ADD3",1443,1647,2214,1762,1770,1476,1519,1702,2484,1562,1506,1949
"PLIN2",1879,1561,1464,1735,1309,1461,1707,1519,1214,1602,1720,1273
"ADH1A",0,0,0,0,0,0,0,0,0,0,0,0
"ADH1B",0,0,0,0,0,0,0,0,0,0,0,0
"ADH1C",13,4,6,5,0,1,22,11,2,4,1,1
"ADH4",0,0,0,0,0,1,0,1,1,0,0,0
"ADH5",1664,1525,1618,2208,2359,2177,1703,1652,1912,2119,2289,2157
"ADH6",0,0,0,0,0,0,0,0,0,0,0,0
"ADH7",0,0,0,0,0,0,0,0,0,0,0,0
"ADK",990,840,894,1141,1105,1024,995,928,969,1061,1181,997
"ADM",1388,1316,1457,1944,2459,1949,1224,1295,1370,1921,2049,1917
"ADORA1",1,0,1,0,0,0,0,0,0,0,0,0
"ADORA2A",8,10,24,20,21,13,19,18,20,9,14,12
"ADORA2B",192,183,160,264,177,223,212,165,172,212,272,179
"ADORA3",1,0,1,2,2,2,1,1,0,1,0,0
"ADPRH",80,72,77,105,84,80,84,80,70,56,72,53
"PARP1",3412,3134,3480,4879,3983,3878,3594,3126,3686,4072,4058,4276
"PARP4",4092,3923,4319,4485,2928,2816,3493,3247,3195,3454,3247,3268
"PARP1P1",0,0,0,0,1,0,1,0,2,0,0,0
"ADRA1D",24,13,12,21,12,14,27,22,32,24,16,15
"ADRA1B",2,6,10,6,10,5,2,11,11,3,9,8
"ADRA1A",0,0,0,0,0,0,0,0,0,0,0,0
"ADRA2A",2,3,3,3,7,3,3,3,3,4,4,3
"ADRA2B",1,0,2,0,2,1,1,0,0,1,0,1
"ADRA2C",1,0,0,2,3,2,0,0,1,1,2,0
"ADRB1",88,88,98,239,221,241,62,53,54,219,223,202
"ADRB2",72,61,43,119,43,80,86,55,49,84,123,77
"ADRB3",0,0,0,0,1,0,1,0,4,0,0,0
"GRK2",2727,2626,3002,3555,3536,3108,2535,2437,2722,3096,3156,3126
"GRK3",21,19,22,32,15,27,18,28,36,21,24,19
"ADSL",992,949,1011,1295,1316,1220,1036,1003,1096,1200,1192,1156
"ADSS2",3810,3321,3820,5819,4857,4916,4851,5063,5537,4913,4975,4983
"AP2A1",2774,2623,2899,3136,3030,2519,2710,2768,3347,2677,2514,2556
"AP2A2",4133,4003,4629,4799,4813,4198,3600,3528,4194,4210,4025,3983
"AP1B1",4894,4399,5125,5834,5170,4389,4409,4448,4964,4817,5068,4721
"AP2B1",9262,8516,9467,10874,8324,7776,9781,9392,10459,8507,8508,8551
"AP1G1",2176,2176,2425,2473,1892,1818,2475,2327,2648,2075,1783,2164
"AEBP1",798,731,856,908,830,735,776,753,844,798,734,733
"TLE5",6510,5930,6760,7709,8490,6864,6381,6149,7010,7087,8412,7197
"CRISP1",0,0,0,0,0,0,0,0,0,0,0,0
"AFG3L1P",438,396,408,414,464,330,406,358,316,386,240,247
"AFM",0,0,0,0,0,0,0,0,0,0,0,0
"AFP",0,0,0,0,0,0,0,0,0,0,0,0
"AGA",506,432,460,504,443,458,451,475,530,474,495,489
"ACAN",0,0,0,0,0,0,0,0,0,0,0,0
"AGER",176,188,185,185,281,182,129,131,115,170,127,136
"AGL",253,308,289,392,268,251,282,283,352,264,212,313
"AGRP",0,0,0,0,0,0,0,0,0,0,0,0
"JAG1",1313,1343,1270,2385,1706,1735,1312,1232,1156,1922,1787,1655
"AGT",2,1,0,0,4,0,0,0,0,0,1,0
"AGTR1",0,0,0,0,0,0,0,0,0,0,1,0
