"Feature","GSM2054980","GSM2054981","GSM2054982","GSM2054983","GSM2054984","GSM2054985","GSM2054986","GSM2054987"
"DDX11L1",3,0,1,2,0,1,2,0
"WASH7P",126,135,154,208,194,168,128,146
"MIR6859-1",3,2,0,2,4,1,1,1
"MIR1302-2HG",1,2,0,0,0,1,1,0
"MIR1302-2",0,0,0,0,0,0,0,0
"FAM138A",0,0,0,0,0,0,0,0
"OR4F5",0,0,0,0,0,0,0,0
"WASH9P",12,14,25,17,23,14,9,19
"LOC729737",319,290,441,445,413,502,389,452
"DDX11L17",3,0,1,1,0,1,3,0
"LOC102723897",171,203,224,294,278,243,212,211
"MIR6859-2",3,2,1,3,4,2,1,4
"LOC112268260",2,2,5,4,4,5,2,6
"OR4F29",0,1,0,0,0,0,0,0
"LOC100132287",518,489,583,709,606,746,624,724
"LOC105378947",2,1,2,1,2,1,1,1
"LOC101928626",0,0,0,0,0,0,0,0
"MIR12136",458,345,453,372,346,407,383,561
"OR4F16",2,4,2,3,3,3,2,2
"LOC100288069",33,47,51,89,55,46,65,75
"LINC01409",12,13,19,16,11,12,8,7
"FAM87B",21,14,10,11,14,17,17,9
"LINC00115",27,28,34,54,22,22,24,25
"LINC01128",213,169,188,233,185,167,206,171
"LOC107984850",0,1,0,0,1,0,0,0
"FAM41C",0,1,1,2,0,0,0,1
"LOC284600",3,5,8,2,16,0,4,4
"LINC02593",1,2,0,4,0,2,2,0
"LOC107985728",0,0,0,17,1,0,0,1
"SAMD11",34,35,33,43,25,35,25,26
"NOC2L",280,305,247,392,318,392,279,291
"KLHL17",122,111,85,158,157,159,148,134
"PLEKHN1",4,4,5,1,14,9,3,5
"PERM1",0,1,1,1,2,4,2,1
"HES4",62,36,46,70,43,60,47,35
"ISG15",166,170,125,159,142,182,118,139
"AGRN",1393,1450,1441,2550,1995,2461,1505,1658
"LOC100288175",6,7,9,2,11,8,5,4
"LOC105378948",3,9,5,13,8,7,3,4
"RNF223",0,0,0,0,0,0,0,0
"C1orf159",171,160,219,242,255,264,230,196
"LINC01342",0,0,0,0,0,0,0,0
"MIR200B",0,0,0,0,0,0,0,0
"MIR200A",0,0,0,0,0,1,0,0
"MIR429",0,0,0,0,0,0,0,0
"TTLL10-AS1",0,0,0,0,0,0,0,0
"TTLL10",0,0,0,0,0,0,0,0
"TNFRSF18",0,0,0,0,0,0,0,0
"TNFRSF4",1,6,3,1,2,1,3,1
