"Feature","X_9444360021_A","X_9444360021_B","X_9444360021_C","X_9444360021_D","X_9444360021_E","X_9444360021_F","X_9444360021_G","X_9444360021_H","X_9444360021_I","X_9444360021_J","X_9444360021_K","X_9444360021_L","X_9444360049_A","X_9444360049_B","X_9444360049_C","X_9444360049_D","X_9444360049_E","X_9444360049_F","X_9444360049_G","X_9444360049_H","X_9444360049_I","X_9444360049_J","X_9444360049_K","X_9444360049_L"
"MACC1",4.30602396034637,4.37526870035961,4.3738994227352,4.30217648881514,4.23805750110795,4.29400288500189,4.62807044762739,4.33877841958301,4.49187023621808,4.88569340726325,4.3064281261569,4.32348274422112,4.28577386938355,4.40229931632427,4.5677371881409,4.35006051823026,4.4594730806653,4.32471033134509,4.54919248418554,4.26444331932323,4.43526610876731,4.41889453130046,4.46322401217476,4.42803820988619
"A1BG",4.90806632010091,4.37274135034353,4.48493994698308,4.68286160497785,4.72287414978074,4.62189704275281,4.73324471782993,5.31484220524025,5.08263153653558,4.66833271150171,4.63485063137404,4.52505806844668,4.68053861666769,4.51471641064537,4.5853551918718,4.62790126636936,5.07641752924309,5.0236057848166,4.97481509849839,4.90488549887176,4.56468444783954,4.92324759009491,4.65588485757106,5.26350064819958
"A1CF",4.30821560309335,4.23480730602664,4.25985957563926,4.5014336311279,4.37569314045275,4.31814355642352,4.24024756680662,4.24459245286215,4.50368321756042,4.37264000168511,4.23535490549853,4.3374397756199,4.32305063110367,4.31408756455854,4.27921430349907,4.38635823000535,4.28235795062544,4.2771053002283,4.40786917402079,4.39570135820402,4.41233983186758,4.59432329318598,4.65588485757106,4.32806001811923
"POTEH",4.55859675189606,4.31366236204681,4.2543445308923,4.62189704275281,4.51814156168857,4.41589724874821,4.37686258698887,4.43400661244203,4.35544128663051,4.4217965446018,4.80103100713636,4.53837808803078,4.278864467746,4.30813308538759,4.49903817833766,4.3409200225141,4.69264287382205,4.49416311166942,4.62291865765005,4.42071184174031,4.52719587714634,4.38878359876609,4.3648800098439,4.57748994956454
"RBFOX1",4.37718400509082,4.3469835022223,4.23557545845509,4.27236713352438,4.28977125556873,4.47795827230202,4.355047934935,4.38254799732505,4.21975845015917,4.32655933306947,4.35544128663051,4.40530842342332,4.1948333685296,4.38933375656297,4.43400661244203,4.28657980530874,4.48226614577381,4.355047934935,4.49746145800434,4.40916047044124,4.37802848292648,4.45628966124653,4.43152180177411,4.50822360049036
"GGACT",7.4473567868209,7.31742926967341,7.45994186622564,7.21722837091016,7.25705156539134,7.3719015616211,6.96231485636766,7.02065322174077,7.01001247324058,6.66734469357072,6.72593095125481,6.49578455191094,6.28663029457936,6.28628374635308,6.51891157490451,6.31601310477327,5.90146448169689,6.31030542420634,6.09098941267241,6.33657662458889,6.17874301623895,6.40403752422479,6.51352640359405,6.43944597166485
"A2M",7.91904808178835,8.38662491438983,7.92999663162146,6.23533151722222,6.23477288806836,6.22182408278951,7.48408246128902,7.70462249142028,7.45007512442182,5.63867046917207,5.92153768598274,6.07136778382466,4.55337419638377,4.48937936563032,4.45893598302901,4.38363015783833,4.42742592943887,4.25948051332191,6.3359070376836,6.54836867212078,6.72172250939692,5.08847676848854,5.49471906924713,4.834676257533
"A2ML1",4.33822677959642,4.22592631695411,4.24430807703673,4.27397712598246,4.25758300643898,4.27280913724037,4.22987754849577,4.26444331932323,4.2643126800862,4.24165969197816,4.20883811292297,4.18510106840017,4.24681289801567,4.53054169511618,4.35348146934393,4.2782229073523,4.27083654956946,4.20820309794505,4.22153567324013,4.18462474759705,4.24441906436352,4.21101938968151,4.21858557537726,4.23766993124696
"A3GALT2",4.21651290524294,4.27260430462157,4.5853551918718,4.54864174996886,4.28977125556873,4.33877841958301,4.48987732784863,4.30513107956444,4.30385029617074,4.25645750543348,4.28099340532243,4.19195141048091,4.25508806861721,4.3279715861564,4.36032256869466,4.43326160173131,4.33975941353079,4.35249169214331,4.36012327408255,4.329445036657,4.37802848292648,4.32392078011827,4.29793132188573,4.29468908218243
"A4GALT",6.95685731152165,7.34185020457259,7.12588447355954,5.70401224770401,5.78441040864351,5.97378746390774,6.93211344695339,6.80751281257894,6.83104021466886,5.83956514693155,5.71561225682435,5.71441064915335,6.77101850539356,6.3796629748574,6.43260745313822,5.54289715245643,5.40529592155508,5.71698429594701,6.64093429686604,7.15179633697922,6.94300030411943,5.85397922141152,6.02974200182529,5.97220841465762
