"","GSM468603.CEL","GSM468604.CEL","GSM468605.CEL","GSM468606.CEL","GSM468607.CEL","GSM468608.CEL","GSM468609.CEL","GSM468610.CEL","GSM468611.CEL","GSM468612.CEL","GSM468613.CEL","GSM468614.CEL","GSM468615.CEL","GSM468616.CEL","GSM468617.CEL","GSM468618.CEL","GSM468619.CEL","GSM468620.CEL","GSM468621.CEL","GSM468622.CEL","GSM468623.CEL"
"A1BG",3.56248908480439,3.82908572505335,3.75222875226665,3.76827439382921,3.59720728369159,3.896481393126,3.70530737558895,3.53813280916889,3.55510888497803,3.9100677708697,4.11967216217483,3.54085021629455,3.87123113010178,3.60939445803353,3.64052285570459,3.83839287360381,3.74937617705329,3.73760103789342,3.6972448874334,4.0510129120374,3.83185139049746
"ADA",8.12691357237622,8.28644672585775,9.41095564824029,8.8084339376274,10.264516452335,9.13391726826514,8.12472021563046,8.0307482767565,9.23676546302099,10.3438277977067,8.62484575614967,8.96760489288418,7.53489267849764,7.67476663059573,9.04192916835645,9.92792177521414,8.2266088957027,8.57565166319888,8.40159724950288,8.23568844775392,7.75993497797289
"CDH2",7.86302709187178,6.97117324370808,8.52711187020111,8.61663463971503,7.34793420177455,7.44133613781592,7.65466645832369,6.89185404013412,8.16467687934788,7.11558316088778,8.26675889453247,7.32438866800433,7.44133613781592,7.1408124522276,8.01561125181768,7.1408727159288,8.87757294578491,7.40538635046928,7.26650755508519,7.19210061500807,7.02766330614002
"AKT3",5.55320549531267,6.63940095572216,5.40073662451056,5.31079044348347,5.6874492814556,6.53593632585195,6.751206716475,6.63047121042589,6.02646732593734,5.6029270295832,6.55800706259683,6.75029626903733,6.56607171808816,6.62868962692725,6.12243754293664,5.82688920126318,6.3804950379826,6.74153378458827,7.35292952269687,7.14352150420431,7.21387448448222
"MED6",8.91998029696683,8.75937003260574,8.36993044152927,8.86772573841156,8.21174471177457,8.71518971675891,9.15151450454529,8.78977256550268,8.31369275545337,8.23253445344545,8.93867934227259,8.90829409496419,8.88408030648844,8.73745484105009,8.25260020938846,7.90331648388444,8.89724465112695,8.69282951880871,8.54718152159618,8.82665313432535,8.61563146118629
"NAALAD2",2.8780284774479,3.9497639353753,3.22979708223717,3.08770329746933,3.39585899395086,3.45424798519478,3.08780517618019,3.52011452270736,3.21798831689261,3.3377443739778,2.95706066645903,3.77665416796754,2.82405209316815,3.17686821530076,2.76004764348774,3.52982060558466,3.23161819916442,3.22979708223717,3.38615632721987,3.22979708223717,3.22979708223717
"NAALADL1",4.9910835475413,5.04489266394252,4.99694737237244,4.86460777821155,4.85449829573343,5.41697015684706,4.94189190120877,5.25494707504789,4.95230940965018,5.12193141975341,5.05251342484393,5.13176050609643,4.84291665311173,5.27709237474277,4.95225146405453,4.38783023655991,4.80424250416414,5.11092092124058,5.43435914709465,5.3831242320183,5.20537987331794
"ACOT8",6.87591089432776,7.68197715632148,6.93208101978479,7.00517814087024,7.57275338260679,7.47736062036584,7.09929931924481,7.6091045057763,6.82820496562605,7.50978300407432,6.97368086067294,7.31362457681107,6.95622881882329,7.60777664533934,6.991883949716,7.71519069360338,6.91262650370024,7.24110484929259,7.29364997342165,7.22746193374625,7.13786407016496
"ABI1",8.22686096685483,8.38293444786161,8.37279914833669,8.16341693496835,8.36402940628549,7.95655094649712,8.22263376845992,8.14393927273231,8.27561854159404,8.47361202585849,7.8265706957634,8.19247586695866,8.0466386053032,8.15096554943703,8.24381711657153,8.35526536805677,7.93945021287537,8.05264197966155,8.3594598585812,8.09296633087575,8.05701632403396
"GNPDA1",10.1129383180603,10.3458397943941,10.2273826384262,9.87051437097971,10.5260512504056,9.91448070827398,9.93542348249945,10.1988851460177,10.0184427779289,10.4144355311403,9.73510842965723,9.73695364882893,9.85188816432644,10.0746995299719,10.0111015247195,10.0905432382171,9.70184708138377,9.48959905758843,9.79380349482334,9.78930738864084,9.59986212959948
