"","GSM926651_Boeckel_K2.CEL","GSM926652_Boeckel_K3.CEL","GSM926653_Boeckel_K4.CEL","GSM926654_Boeckel_S2.CEL","GSM926655_Boeckel_S3.CEL","GSM926656_Boeckel_S4.CEL","GSM926657_Boeckel_K2.CEL","GSM926658_Boeckel_K3.CEL","GSM926659_Boeckel_K4.CEL","GSM926660_Boeckel_S2.CEL","GSM926661_Boeckel_S3.CEL","GSM926662_Boeckel_S4.CEL"
"A1BG",7.86288773191414,8.18088519575879,7.7501116116541,7.96709332937257,7.85370672795301,7.99005703274888,7.86288773191414,8.18088519575879,7.7501116116541,7.96709332937257,7.85370672795301,7.99005703274888
"NAT2",4.37750101161133,4.85489715303662,4.7609097528176,4.69395423034496,4.28682304597192,4.66003246424005,4.37750101161133,4.85489715303662,4.7609097528176,4.69395423034496,4.28682304597192,4.66003246424005
"ADA",10.2754245430147,10.6475102026556,10.2955192828684,10.1870489330411,10.2508998039364,10.2787673676394,10.2754245430147,10.6475102026556,10.2955192828684,10.1870489330411,10.2508998039364,10.2787673676394
"CDH2",11.1833528698271,11.1185702399712,11.0027866943683,11.2399386996589,10.9612263171624,11.0037959067859,11.1833528698271,11.1185702399712,11.0027866943683,11.2399386996589,10.9612263171624,11.0037959067859
"NR2E3",6.81828121722532,6.95590376189556,6.54630850950147,6.81759089950867,6.68215286322829,6.87489676775695,6.81828121722532,6.95590376189556,6.54630850950147,6.81759089950867,6.68215286322829,6.87489676775695
"NAALAD2",4.77732635897433,4.88991827555667,4.96031065685177,4.86649174223642,4.85246592347384,4.86577520622567,4.77732635897433,4.88991827555667,4.96031065685177,4.86649174223642,4.85246592347384,4.86577520622567
"NAALADL1",7.30305756375086,7.51581497463851,7.04259292740913,7.25444279901649,7.19393802952633,7.18251471220916,7.30305756375086,7.51581497463851,7.04259292740913,7.25444279901649,7.19393802952633,7.18251471220916
"ACOT8",9.0356059450318,9.13753298353291,9.01819921169524,9.16439121849072,9.39495313879219,9.30273651454174,9.0356059450318,9.13753298353291,9.01819921169524,9.16439121849072,9.39495313879219,9.30273651454174
"ABI1",10.3321159604377,10.3164900236036,10.3318818987975,10.3654866830905,10.383277902413,10.3535416321142,10.3321159604377,10.3164900236036,10.3318818987975,10.3654866830905,10.383277902413,10.3535416321142
"GNPDA1",10.0397291470839,9.76699304401775,9.85326204498826,9.99346806704211,9.76586139652508,9.71727121383027,10.0397291470839,9.76699304401775,9.85326204498826,9.99346806704211,9.76586139652508,9.71727121383027
"KCNE3",5.55234339285334,5.62978036624757,5.21893499573885,5.30903522212239,5.7159815115085,5.54707848786494,5.55234339285334,5.62978036624757,5.21893499573885,5.30903522212239,5.7159815115085,5.54707848786494
"ZBTB33",11.1203585685157,11.1909212841318,11.3154106482707,11.3166050599597,11.2930619622549,11.3763888750784,11.1203585685157,11.1909212841318,11.3154106482707,11.3166050599597,11.2930619622549,11.3763888750784
"CDH3",6.68310609520088,6.8104302352342,6.58752466336524,6.70071123911952,6.69308580588479,6.69383516089555,6.68310609520088,6.8104302352342,6.58752466336524,6.70071123911952,6.69308580588479,6.69383516089555
"TANK",10.3862284894819,10.0646334489386,10.5465030741248,10.5888254348184,10.6360035322901,10.6681904269184,10.3862284894819,10.0646334489386,10.5465030741248,10.5888254348184,10.6360035322901,10.6681904269184
"ZSCAN30",7.56950630503342,7.70521221362267,7.63292066049414,7.53453900005329,7.65612568771222,7.6310029205438,7.56950630503342,7.70521221362267,7.63292066049414,7.53453900005329,7.65612568771222,7.6310029205438
