"","GSM1113592.CEL","GSM1113593.CEL","GSM1113594.CEL","GSM1113595.CEL","GSM1113596.CEL","GSM1113597.CEL","GSM1113598.CEL","GSM1113599.CEL","GSM1113600.CEL","GSM1113601.CEL","GSM1113602.CEL","GSM1113603.CEL","GSM1113604.CEL","GSM1113605.CEL","GSM1113606.CEL","GSM1113607.CEL","GSM1113608.CEL","GSM1113609.CEL","GSM1113610.CEL","GSM1113611.CEL","GSM1113612.CEL","GSM1113613.CEL","GSM1113614.CEL","GSM1113615.CEL"
"MACC1",2.3149978333,2.4271353886,2.3686779612,2.4156774975,2.4402382264,2.3598903477,2.4423691868,2.421549021,2.4813441834,2.3514512167,2.4058117371,2.3696392156,2.3461815561,2.4588709293,2.3955337755,2.3539243285,2.3807896324,2.3989491243,2.3568944669,2.3457135134,2.3762794161,2.3669190158,2.4551854277,2.3832637
"A1BG",2.4339261368,2.4102912217,2.4781731249,2.4778049683,2.400307545,2.4444242679,2.4314982242,2.4393987543,2.3983536317,2.3878815295,2.3678155656,2.5021930149,2.4322961997,2.4542671463,2.4611062218,2.4109884347,2.4163837447,2.4545381777,2.541612342,2.3898063131,2.4298188005,2.3494111609,2.4361404325,2.4782029589
"A1CF",2.404604813,2.3942819125,2.379166941,2.3520668624,2.4012246794,2.4964603084,2.4008297726,2.3667221434,2.3928546709,2.3129762023,2.4013409224,2.4015136322,2.4457720456,2.3594214043,2.3856645747,2.420428707,2.3754286481,2.4307218358,2.3387892791,2.3798065879,2.3402506104,2.3774922047,2.3435634229,2.3621642441
"POTEH",2.364969539,2.4626619292,2.4771901055,2.4705459471,2.4071279541,2.4684822177,2.3873063405,2.3925450758,2.5912574414,2.4714529241,2.4289060286,2.373827498,2.4401060891,2.5215750957,2.4737045775,2.3959987421,2.4583625972,2.4444986979,2.4018834302,2.4024304998,2.4375046637,2.3735301703,2.4551854277,2.4228107005
"RBFOX1",2.4036657067,2.312700915,2.3915331332,2.3597307292,2.3567781103,2.4176521592,2.3774272586,2.3999979538,2.3599504511,2.3590936946,2.3772926329,2.3646709193,2.3089893967,2.3522707334,2.3774922047,2.4215280631,2.4020334129,2.4083078922,2.4018834302,2.3830202679,2.3189493381,2.3404332755,2.3138191351,2.4536269839
"GGACT",2.8461171727,2.8196357296,2.8054929707,2.7973306758,2.8133417282,2.8042360884,2.8183582024,2.9393897296,2.8841766865,2.8070042699,2.8563297048,2.8545547789,2.8739516792,2.8937214185,2.85278551,2.9000461223,2.8364750515,2.8370980494,2.9427503222,2.978179482,2.9259931117,2.8690817385,2.920728485,2.915345435
"A2M",2.3507893732,2.3238009125,2.3935124026,2.330725285,2.4521550522,2.3365063679,2.3693164305,2.3731637065,2.3297554413,2.3452171039,2.4248276574,2.4022240563,2.3935124026,2.3945382511,2.3742216809,2.4048018017,2.4592367887,2.4316414419,2.3241908737,2.4194644743,2.3914900984,2.4230425962,2.4296435049,2.3255030319
"A2ML1",2.2464885758,2.3570911579,2.3631913426,2.3169898806,2.2987997637,2.279562554,2.372888704,2.2056271249,2.3183095421,2.3119952291,2.3372079282,2.2820930812,2.3694200721,2.2755664591,2.3216553074,2.2093093313,2.293301828,2.3009562138,2.279532185,2.3606387356,2.281102889,2.3135744719,2.3435634229,2.3547556667
"A3GALT2",2.396376078,2.4186758638,2.3991230842,2.3699155616,2.4126500358,2.2841884164,2.3461645902,2.3638837085,2.3663115646,2.4177187197,2.3264453179,2.3730796446,2.2440280736,2.3723288474,2.3529662138,2.3697507276,2.4090951407,2.3389135548,2.3424451369,2.3967277521,2.4056944829,2.3911119452,2.2831832549,2.3821351313
"A4GALT",2.4487523131,2.5432837028,2.5423606216,2.5615334969,2.4344828169,2.4520601588,2.5350248797,2.5214810025,2.4609556528,2.4617556671,2.4756182253,2.457457332,2.9107980226,2.763628907,2.8376052347,2.8690500249,2.8628103449,2.8001466785,2.8980162914,2.9333699256,2.8862521953,2.9091426463,2.8724720641,2.9258823951
