"","HUVEC_scr_siRNA_1.CEL","HUVEC_scr_siRNA_2.CEL","HUVEC_scr_siRNA_3.CEL","HUVEC_scr_siRNA_DLL4_1.CEL","HUVEC_scr_siRNA_DLL4_2.CEL","HUVEC_scr_siRNA_DLL4_3.CEL","HUVEC_USP10_siRNA_1.CEL","HUVEC_USP10_siRNA_2.CEL","HUVEC_USP10_siRNA_3.CEL","HUVEC_USP10_siRNA_DLL4_1.CEL","HUVEC_USP10_siRNA_DLL4_2.CEL","HUVEC_USP10_siRNA_DLL4_3.CEL"
"A1BG",5.32390841863468,5.16453224608678,5.13866858478468,5.40736034850145,5.04405872612748,5.1466374420272,5.15108765767865,4.97666694875258,5.20522279624649,5.15115970886558,5.29436228459124,5.21213966821835
"NAT2",2.59125488386721,2.41835755958479,2.46027506011824,2.56784607535399,2.57165494079972,2.36335049859981,2.52433954470482,2.86061596215324,2.53284327195047,2.54626575693244,2.63738591617947,2.44317887378588
"ADA",7.43597562945141,7.5605121828237,7.54840362070736,8.32460301532493,8.50849432065632,8.45001235037359,7.8445856671899,8.15759434679621,7.77516285040183,8.31407934580093,8.28278141246962,8.2836943098625
"CDH2",9.80979704390528,9.83379380738632,9.72241134967624,9.52188902004512,9.5683085756849,9.44526961983702,10.0318370154297,10.115945415104,9.99526564111762,9.86623888354916,10.0052597660965,9.91083607152344
"AKT3",8.51748113480284,8.55788041740016,8.53217953479102,8.7628876318348,8.85430659479076,8.83545276367934,8.66877021101356,8.78326964777747,8.70112803330923,8.99944460798308,9.08480801805931,8.89404935248746
"NR2E3",4.21566228699834,4.42565250301154,4.54881225251413,4.30404897431603,4.33880606123576,4.52076785778668,4.35751944011102,4.39391867922689,4.43222601031242,4.71724903385077,4.28126735354191,4.37635546885066
"NAALAD2",2.98758923944118,3.22946005942608,3.09055167403977,2.89576843374464,3.30975878813165,3.56032524808154,3.23115264881149,2.84458497755273,3.70128473699568,3.17030388461437,3.12492871514679,3.07116464984258
"DDTL",5.36004957585212,5.59311382555277,5.74791331436843,5.26013598219427,5.28733371829002,5.39898724008769,5.9563498726286,5.66807777975731,5.88998178344061,5.27727140005441,5.64726571679975,5.68368537039083
"NAALADL1",5.8478352622009,5.41063725609008,5.90452727896836,6.08844623570238,5.70360667750118,6.11205080992091,5.75815351544131,6.15141783737565,5.86196688379634,5.80164006342076,5.99482067337574,5.42235896753193
"SIGLEC14",4.3945059724112,4.28202348756055,4.10417576743734,4.69461532223997,4.53372221061684,4.32600471446458,4.85506097029222,4.19967545458159,4.33929388356882,4.8275677358176,4.04053553950078,4.30035077248945
