"","control.siRNA_PBS_rep1","control.siRNA_PBS_rep2","control.siRNA_PBS_rep3","control.siRNA_VEGF_rep1","control.siRNA_VEGF_rep2","control.siRNA_VEGF_rep3","KDR.siRNA_PBS_rep1","KDR.siRNA_PBS_rep2","KDR.siRNA_PBS_rep3","KDR.siRNA_VEGF_rep1","KDR.siRNA_VEGF_rep2","KDR.siRNA_VEGF_rep3"
"TSPAN6",691,619,709,675,640,774,947,1076,882,837,925,961
"TNMD",0,0,0,0,0,0,0,0,0,0,0,0
"DPM1",1144,1059,1032,1339,1257,1386,1499,1320,1329,1422,1594,1388
"SCYL3",216,205,183,247,221,200,222,175,192,186,166,193
"FIRRM",415,357,419,508,387,449,531,427,399,452,496,479
"FGR",4,4,7,5,2,3,2,1,3,1,4,2
"CFH",725,659,798,633,694,718,1078,708,590,766,758,601
"FUCA2",2732,2471,2652,2951,2745,2970,3281,2747,2644,2764,3074,2667
"GCLC",886,822,806,959,837,960,988,801,809,909,855,837
"NFYA",912,785,850,1018,922,1085,1096,892,803,949,1000,1044
"STPG1",184,133,153,156,178,166,163,129,131,177,155,145
"NIPAL3",449,437,539,403,430,552,587,490,483,537,465,503
"LAS1L",1376,1193,1137,1246,1181,1249,1737,1439,1464,1538,1415,1224
"ENPP4",93,80,93,120,111,108,92,83,66,77,75,75
"SEMA3F",3804,3160,3333,4126,3704,3938,5387,4048,4385,4223,4535,4086
"CFTR",2,0,0,0,1,0,0,0,1,1,0,1
"ANKIB1",1822,1827,1956,1861,1841,1982,2308,1512,1560,1737,1794,1847
"CYP51A1",419,392,457,386,370,449,520,414,440,398,392,383
"KRIT1",196,216,247,183,186,231,287,278,189,215,203,234
"RAD52",388,390,342,336,339,289,424,328,328,357,314,315
"MYH16",83,61,59,70,49,62,69,62,84,67,67,59
"BAD",1076,815,989,1133,1169,1383,1209,1576,1366,1142,1346,1181
"LAP3",11083,10073,10856,10386,10564,9729,11572,7893,7429,10448,12224,6608
"CD99",12595,10945,11726,11657,12084,13011,15010,17046,14747,14062,16214,13434
"HS3ST1",40,65,61,63,70,100,31,35,25,26,52,35
"AOC1",0,0,0,0,0,0,0,0,0,0,0,0
"WNT16",0,0,0,0,0,0,0,0,0,0,0,0
"HECW1",0,0,0,0,0,0,0,0,0,0,0,0
"MAD1L1",58,40,31,40,30,29,28,40,34,42,44,34
"LASP1",13126,12238,13819,12989,11515,13363,14409,12230,12466,12301,12613,11867
"SNX11",893,797,782,923,839,844,933,797,843,952,989,738
"TMEM176A",0,0,0,0,0,0,0,0,0,0,0,0
"M6PR",2719,2477,2697,2887,2751,2906,3386,2630,2761,2929,2924,2787
"KLHL13",319,294,388,331,322,434,423,479,368,385,355,446
"CYP26B1",25,50,74,15,19,20,22,23,12,25,15,26
"ICA1",672,635,725,538,537,627,814,884,691,793,738,719
"DBNDD1",799,801,970,825,822,1027,828,825,703,756,831,787
"ALS2",2090,1965,2207,2270,2221,2430,2424,1869,1892,1989,1854,1932
"CASP10",994,953,1197,952,989,1085,1122,913,763,903,930,841
"CFLAR",7045,6669,6802,7444,7073,7008,8277,6087,5649,6557,6664,5696
"TFPI",4558,4580,5574,3868,3968,4738,6053,6049,4690,5367,5742,5897
"NDUFAF7",325,270,304,371,356,306,379,389,307,380,316,327
"RBM5",3212,2849,2965,2791,2662,2471,3261,3248,2734,3026,2881,2613
"MTMR7",18,14,10,21,21,6,18,11,12,23,17,15
"SLC7A2",543,423,367,570,447,472,2048,1014,1392,1230,1373,1253
"ARF5",1625,1393,1596,1655,1700,2043,2130,2640,2332,2106,2317,2094
"SARM1",147,176,204,189,178,276,277,271,235,228,188,221
"POLDIP2",3990,3628,3908,4114,3914,4105,4635,4133,4057,4136,4621,3915
"PLXND1",14619,14280,17418,13504,14158,17290,8829,7992,6555,6677,5550,6728
"AK2",2856,2374,2628,3039,2756,3079,3271,2842,2681,3054,3175,2854
"CD38",7,2,12,1,4,2,10,6,4,6,6,1
"FKBP4",3346,2942,3241,3262,2820,3081,3804,3502,3671,3625,3717,3473
"KDM1A",3209,2859,3129,2958,3125,3534,4146,4137,3789,3636,3511,3653
"RBM6",2453,2393,2581,2040,2167,2043,2668,2735,2299,2405,2033,2205
"CAMKK1",280,205,218,219,197,191,243,215,195,202,220,193
"RECQL",2148,2060,2198,2521,2488,2431,2853,2275,2264,2413,2457,2350
"VPS50",525,522,497,504,537,499,639,534,468,547,565,545
"HSPB6",49,54,65,50,63,58,81,50,68,58,54,59
"ARHGAP33",453,446,501,370,435,444,450,569,400,500,314,380
"NDUFAB1",1123,971,946,1117,1101,1298,1382,1830,1456,1321,1541,1307
"PDK4",37,39,66,50,56,105,63,51,34,48,56,48
"SLC22A16",0,1,0,0,0,0,0,0,0,1,0,1
"ZMYND10",8,7,5,3,6,1,4,4,5,2,0,5
"ABCB5",0,0,0,0,0,0,0,0,0,0,0,0
"ARX",0,0,0,0,0,0,0,0,0,0,0,0
"SLC25A13",1033,1032,1026,1121,1127,1087,1230,1042,1020,1108,1123,1096
"ST7",704,645,679,758,710,794,744,564,549,648,717,650
"CDC27",2685,2639,2960,3049,2866,3413,3570,2678,2661,2918,2915,3306
"SLC4A1",0,0,0,0,0,0,0,0,0,0,0,0
"CALCR",0,0,0,0,0,0,0,0,0,0,0,0
"HCCS",1068,896,925,1145,1033,1087,1237,1050,1085,1088,1166,966
"DVL2",1267,1191,1318,1144,1109,1113,1478,1534,1204,1361,1303,1247
"PRSS22",0,0,0,0,0,0,0,0,0,0,0,0
"UPF1",4993,4558,4942,4905,4495,4789,5343,4512,4292,4781,4434,4218
"SKAP2",1245,1245,1487,1277,1291,1519,1576,1513,1240,1394,1393,1447
"SLC25A5",6886,5970,6512,7281,6775,7849,8760,9207,8216,8205,8959,8520
"MCUB",1118,1018,1005,1088,1116,1130,1246,1166,982,1116,1317,1203
"HOXA11",552,448,559,687,737,884,679,647,555,611,621,539
"POLR2J",519,411,418,505,479,514,599,825,598,573,758,598
"DHX33",1321,1126,1091,1485,1300,1196,1730,1146,1211,1273,1260,1217
"MEOX1",0,1,0,1,2,1,0,0,1,0,0,2
"THSD7A",343,349,473,305,271,452,485,411,345,304,308,454
"LIG3",554,512,518,551,562,640,790,614,544,535,557,591
"RPAP3",734,715,715,875,756,835,898,787,699,854,898,891
"ACSM3",48,43,56,21,29,26,111,120,91,85,96,98
"REXO5",222,204,222,207,192,196,289,252,239,235,227,213
"CIAPIN1",1787,1459,1467,1645,1653,1544,2159,2103,2081,2098,2189,1897
"SPPL2B",939,905,993,828,862,908,1034,1247,962,984,868,838
"ATOSB",2080,1819,1971,2095,1988,2133,1567,1472,1410,1524,1435,1318
"COPZ2",136,136,124,163,128,147,178,190,148,156,174,183
"PRKAR2B",1976,2012,2187,2657,2648,3351,3174,2537,2578,2634,2754,2799
"MSL3",1619,1464,1670,1393,1335,1459,1848,1783,1575,1603,1673,1525
"CREBBP",1794,1694,1923,1828,1714,1948,1913,1322,1305,1349,1325,1453
"TSPOAP1",1,0,0,0,0,0,0,0,0,1,0,0
"MPO",1,0,2,0,0,0,0,0,0,0,2,0
"PON1",0,0,0,0,0,0,0,0,0,0,0,0
"GCFC2",549,453,552,545,511,510,575,461,491,546,581,506
"WDR54",202,200,215,221,215,249,271,356,294,279,312,287
"CROT",271,304,373,221,224,222,317,379,263,322,294,289
"ABCB4",0,0,0,3,2,5,0,0,0,0,1,2
"KMT2E",1899,1891,2194,2290,2181,2445,2183,1557,1226,1590,1549,1757
