"gene","X1.4hr.Con.1.y","X2.4hr.CA.1","X3.4hr.ABA.1","X4.4hr.ABTAA.1","X5.4hr.Con.2","X6.4hr.CA1.2","X7.4hr.ABA.2","X8.4hr.ABTAA.2"
"A1BG",0,0,0.381893,0.087446,0.393596,0,0.309152,0.659691
"A1CF",0,0.00724729,0,0,0,0,0,0
"A2M",1.28661,1.42247,1.02874,1.473,1.26607,1.61722,0.903508,1.54862
"A2ML1",0,0,0,0,0,0,0,0
"A4GALT",2.42927,1.6697,1.9864,1.58176,2.69924,1.28464,2.22934,1.47912
"A4GNT",0,0.127028,0,0,0,0,0,0.039727
"AAAS",41.0072,40.4384,43.8059,43.2113,42.4147,49.5122,41.6591,39.2243
"AACS",4.164,4.21506,4.07227,5.3955,5.06691,4.44466,4.41759,4.17572
"AADAC",0,0,0,0,0.0927261,0,0,0
"AADACL2",0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0,0
"AADAT",2.85309,1.46509,1.68748,2.36038,1.94845,2.6608,1.21706,2.71974
"AAGAB",12.5841,16.277,14.2607,14.0242,11.4436,13.4942,12.5477,14.0054
"AAK1",22.5841,22.4326,24.0861,20.5466,24.2007,22.7321,25.8606,22.9756
"AAMP",14.2942,12.9845,16.1445,12.8107,14.5651,17.1948,14.8236,12.8641
"AANAT",0,0,0,0,0,0,0,0
"AARS2",3.19498,3.01041,2.97894,3.12415,3.68307,4.27084,3.47229,3.91127
"AARSD1",7.49545,6.1748,4.52377,6.21435,4.45498,5.50661,5.45187,4.69538
"AASDH",0.354317,0.664786,0.674522,1.11017,0.325253,0.260502,0.540651,0.445965
"AASDHPPT",9.16906,11.0173,9.945,9.19376,9.7063,8.88735,9.36023,9.37107
"AASS",11.2524,9.98603,10.0961,7.64174,10.9989,7.39466,11.811,10.6435
"AATF",9.53865,8.61564,9.67623,10.2589,10.0381,9.76547,7.67445,8.39066
"AATK",0.113361,0.404717,0.113869,0.161784,0.152706,0.395987,0.041817,0.188778
"ABAT",0.894455,1.12445,0.791345,0.918838,0.986285,0.89219,0.517178,0.92053
"ABCA1",1.51956,0.654041,0.800704,1.32276,1.61625,0.295782,1.34731,1.07253
"ABCA12",0.00779899,0,0.00782101,0.0285711,0,0.0407391,0.0258868,0.0155671
"ABCA13",0.00723341,0.0193617,0.0108654,0,0,0.00711055,0.0359999,0.00360574
"ABCA2",3.23724,4.12859,3.6626,4.61662,3.66404,4.82,3.59829,4.30567
"ABCA3",4.18636,4.24775,4.28719,4.47731,6.22888,5.05714,4.7383,3.90813
"ABCA4",1.56329,1.31613,1.27631,1.0204,1.57746,1.5363,1.78862,1.8317
"ABCA6",4.03832,3.25871,4.83051,2.65009,5.39336,3.06604,4.91519,4.90217
"ABCA7",2.43212,2.03798,1.80186,2.8696,2.65477,3.14408,2.91788,2.4533
"ABCA8",7.01252,6.99778,6.60577,6.90477,6.90841,5.87749,7.05829,8.24727
"ABCA9",1.40425,0.766211,0.903244,1.12238,1.18915,1.01385,1.44729,1.11245
"ABCB1",0.0272816,0,0,0,0.0709245,0,0,0.0136327
"ABCB10",5.27991,4.03293,5.16194,4.56828,4.28777,4.7385,4.13372,3.99212
"ABCB11",0,0.0432618,0,0.0741397,0.0280011,0,0.0149033,0.0269112
"ABCB4",0,0.0182115,0,0.0156225,0,0.0333978,0.0188239,0
"ABCB5",0,0,0.0413054,0,0,0,0,0
"ABCB6",2.06443,1.28859,0.971137,2.51412,1.63406,2.57275,1.3853,1.76233
"ABCB7",5.36014,4.45164,4.38145,4.90045,5.44066,5.04484,4.93134,4.74913
"ABCB8",7.11109,7.07588,8.38724,10.7771,8.92914,10.3783,7.73625,9.02921
"ABCB9",2.7016,2.77706,2.10578,2.81823,2.55006,3.12393,2.24267,2.7049
"ABCC1",46.3392,57.403,53.6323,64.8625,55.9786,66.9821,45.1878,63.3496
"ABCC10",3.45534,3.87415,3.38598,4.06585,4.49676,5.17384,4.46831,4.30649
"ABCC11",0,0,0,0,0,0.0141953,0.0159992,0
"ABCC12",0,0,0,0,0,0,0,0
"ABCC2",0.331034,0.426229,0.531862,0.371969,0.474347,0.569662,0.619883,0.630148
"ABCC3",0.110399,0.118333,0.0372679,0.137203,0.0385233,0.216304,0.243812,0.110592
"ABCC4",3.53612,4.67154,3.59332,5.05816,3.77649,4.21178,3.99445,5.27802
"ABCC5",8.465,7.99279,7.08686,7.14218,7.15544,9.24794,6.73629,7.93292
"ABCC6",0.122595,0.0402407,0,0.234524,0.0130198,0,0.136947,0.125862
"ABCC8",0,0,0,0,0,0,0,0
"ABCC9",0.787237,0.956473,0.766628,0.790218,1.0451,0.900121,1.12219,1.1633
"ABCD1",7.09275,6.9392,6.33468,9.98244,9.05227,11.195,6.60471,6.94873
"ABCD2",0,0,0,0,0,0,0,0
"ABCD3",18.7202,21.5332,20.9147,20.3781,14.0969,17.3434,20.3376,21.7323
"ABCD4",6.2127,5.95881,5.48488,7.35815,7.52037,6.67669,7.4333,7.18192
"ABCE1",28.6239,29.656,30.0949,27.2296,27.2659,26.3012,31.0814,26.5772
"ABCF1",0,0,0,0,0,0,0,0
"ABCF2",32.3685,31.656,33.8401,35.8513,32.7658,30.885,27.929,32.6194
"ABCF3",9.48659,9.71795,6.5481,8.65107,8.48595,9.28562,8.66344,8.87408
"ABCG1",1.88027,1.75075,1.55168,1.77248,1.70075,1.27035,1.75372,1.93657
"ABCG2",1.02533,1.03156,0.811368,1.22504,1.18857,1.0223,0.870949,1.10989
"ABCG4",0.399105,0.223339,0.286183,0.644916,0.315836,0.514977,0.340435,0.362115
"ABCG5",0,0.0521276,0,0,0,0,0,0.0487507
"ABCG8",0,0,0,0,0,0,0,0
"ABHD1",0.0998997,0.107127,0.0508132,0.278828,0.0524888,0,0,0.050366
"ABHD10",8.32005,8.03394,7.79441,8.82019,6.88667,6.44204,7.39712,7.90323
"ABHD11",4.97461,5.35841,5.094,5.42068,4.92922,6.20731,5.26126,5.23246
"ABHD12",23.2489,27.2918,23.8911,22.4253,24.8549,31.6168,37.0962,22.6293
"ABHD12B",0.0487175,0,0,0,0.102354,0,0.0540846,0.0491088
"ABHD13",2.12408,1.9388,1.87862,1.8155,1.71858,1.4821,1.97684,1.71207
"ABHD14B",38.6855,33.5924,36.4271,36.4741,34.5324,36.7087,34.8675,34.4595
"ABHD15",1.64287,1.50851,1.69345,1.78944,1.87429,1.84959,1.77609,1.60513
"ABHD16A",0,0,0,0,0,0,0,0
"ABHD16B",0.629972,0.886341,0.838098,1.24052,0.989958,1.69886,1.26661,1.18795
"ABHD2",14.024,14.7462,15.2092,16.183,14.6917,14.1262,14.9021,17.7379
"ABHD3",4.80165,4.58238,4.94342,6.17901,6.78479,4.27291,2.77754,3.17177
"ABHD4",53.6794,40.1379,45.619,44.4108,45.3972,48.7472,45.4063,42.0522
"ABHD5",1.94154,1.95793,2.10298,1.91631,1.80891,1.87335,2.2349,1.47105
"ABHD6",3.91286,2.79074,3.63432,3.93971,3.86973,3.62492,3.55322,3.02538
"ABHD8",5.73703,4.5613,4.61809,6.0726,4.22442,4.61977,4.26943,4.23081
"ABI1",31.4449,26.321,30.6711,25.2559,30.4794,23.2243,28.2593,25.5701
"ABI2",21.3978,20.495,21.1725,22.3452,24.7018,22.0608,23.1973,24.5168
"ABI3",21.3926,26.0838,19.5851,31.7874,24.6655,34.8094,20.3208,21.7905
"ABI3BP",61.0662,53.7873,67.8686,59.7947,63.5825,47.5835,75.5005,64.9951
"ABL1",33.3858,34.1847,35.6418,38.7423,37.6381,38.1226,35.9223,35.3199
"ABL2",14.1394,14.866,15.383,13.5479,14.9854,12.4057,16.5197,15.1572
"ABLIM1",71.1402,59.9413,81.5932,60.7212,74.9021,55.3134,84.2018,67.2049
"ABLIM2",0.286052,0.0414315,0.133457,0.071938,0.0201309,0.205397,0.19014,0.0260695
"ABLIM3",19.5939,21.4215,18.2203,21.9883,20.7622,22.9725,17.982,19.7651
"ABO",0,0,0,0,0,0,0,0
"ABR",20.3227,20.7749,20.3025,23.5272,23.3219,22.4604,22.4765,21.9254
"ABRA",0.024192,0,0,0,0,0,0,0
"ABT1",8.42974,8.77637,8.94167,8.03348,8.61927,8.71323,7.24883,8.00695
"ABTB1",2.45198,1.60508,2.2857,2.51863,2.45906,2.55422,1.9741,2.00822
"ABTB2",0.450206,0.482454,0.545863,0.609738,0.439016,0.647921,0.332678,0.572207
"ACAA1",7.82906,8.63557,8.99044,11.1797,8.47261,8.28138,8.29244,8.63875
"ACAA2",22.3565,23.0735,21.93,23.4725,19.8695,21.9924,22.2306,23.0028
"ACACA",6.30365,7.41884,5.91482,7.42096,6.88179,7.49093,6.50965,7.20648
"ACACB",0.251386,0.230354,0.267274,0.410533,0.20449,0.236413,0.376611,0.340097
"ACAD10",2.88693,3.64249,2.86528,2.66612,2.89801,3.07557,2.88175,3.50605
"ACAD8",7.5833,8.30232,5.58047,6.81741,7.90821,5.82567,6.13255,7.51292
"ACAD9",15.2038,15.663,14.0608,18.2325,14.9555,16.0955,13.7675,14.1014
"ACADL",0,0,0,0,0,0,0,0
"ACADM",6.10453,6.87578,5.63074,5.6804,4.75852,4.16638,4.8002,5.63548
"ACADS",1.44427,1.2337,0.877382,0.886255,0.361607,1.25816,1.58489,0.579125
"ACADSB",4.42499,3.69676,3.93421,3.86913,4.12231,3.80731,4.21726,4.02885
"ACADVL",21.2679,21.3753,17.9414,24.8243,21.1458,23.7168,20.0546,20.3072
"ACAN",0.0221095,0.0473525,0.0147783,0.0134958,0.0765053,0,0.0163061,0.00735271
"ACAP1",0,0.0574122,0,0.0494179,0,0,0,0
"ACAP2",7.1145,6.26129,7.37778,5.82069,7.83263,5.6693,7.42108,7.43716
"ACAP3",3.36979,2.55729,2.86938,3.41299,3.74901,4.46207,3.33599,3.47161
"ACAT1",7.39624,7.58341,8.4494,8.34399,7.56467,6.37697,7.41859,6.62153
"ACAT2",23.5768,20.1119,22.844,16.193,17.8916,18.1402,17.2767,21.551
"ACBD3",10.7816,8.86192,10.2963,9.08816,9.97733,8.43168,11.6272,10.5943
"ACBD4",5.0903,3.90835,3.9547,3.88914,3.81467,6.54287,4.53254,3.79946
"ACBD5",2.67391,2.7112,2.6605,1.63101,2.22349,1.93703,2.21927,2.35103
"ACBD6",12.1542,11.5254,10.2896,13.6442,11.0926,11.5709,11.4425,10.0725
"ACBD7",2.90027,2.46051,3.46866,3.58073,3.00073,2.63768,3.44899,2.62993
