"Gene.symbol","X9444360021_A","X9444360021_B","X9444360021_C","X9444360021_D","X9444360021_E","X9444360021_F","X9444360021_G","X9444360021_H","X9444360021_I","X9444360021_J","X9444360021_K","X9444360021_L","X9444360049_A","X9444360049_B","X9444360049_C","X9444360049_D","X9444360049_E","X9444360049_F","X9444360049_G","X9444360049_H","X9444360049_I","X9444360049_J","X9444360049_K","X9444360049_L"
"A1BG",13.5,0.1,4.1,8.6,8.6,8,9.8,25.2,16.8,8.5,7.8,5.4,9,5.2,6.7,7.7,17.3,15.9,18.1,14.3,6.7,13.2,8.1,19.9
"A1CF",-2.5,-7,-5.3,4.1,-0.2,-2.3,-7.1,-6.2,4.4,0.2,-7.6,-1.5,-2.2,-2.6,-4.5,0.4,-4.4,-4.5,1.6,1.2,1.9,6.6,8.1,-1.9
"A2M",209.1,291.9,213.9,59.3,50.9,67.4,157.1,198.2,142.4,32.9,48,65.4,5.8,4.4,3.1,0.3,1.8,-5.6,75.5,76.8,95.6,16.3,25.2,11.8
"A2ML1",-1.1,-7.7,-6.4,-4.9,-5.9,-4.9,-7.9,-4.9,-4.9,-6.7,-9.8,-12.6,-6.7,5.7,-0.8,-4.7,-5.1,-9.4,-8.4,-11.5,-6.4,-9.5,-9,-7.4
"A3GALT2",-8.4,-4.5,6.8,5.4,-4,-1.3,3.8,-2.6,-2.7,-5.7,-4.5,-11.8,-6.1,-1.9,-0.5,2.1,-1.6,-0.8,-0.3,-1.5,0.6,-2.2,-3.5,-3.6
"A4GALT",101.5,134.9,116.1,35.3,33.4,53.1,101.9,98.5,88.1,40.5,38.9,45.4,90.1,80.1,69.6,29.8,25.3,34,95.8,122,113,36,42,40.3
"A4GNT",-1.8,3.6,0.2,-2.2,2.3,6.4,-0.9,-0.9,5.2,1.9,4,6.9,4.7,9,-0.2,-1.3,7.9,7.3,6.2,3.6,5.1,3.3,4.8,5.1
"AAAS",23.3,15.4,25.3,34,28.6,44.2,20.3,22.8,22.1,47.5,40.8,49.7,24.7,39.4,31,26.8,31.1,39.5,31.7,18.5,23.9,32,34,29.4
"AACS",58.2,47.2,68.2,37.6,44.8,50.2,67.6,54.4,55.8,29.8,43.7,37,48.6,37.7,51.6,32.1,33.5,32,34.7,42.1,42.7,28.8,27.1,32.4
"AADAC",3.7,-2.5,2.4,3.2,4.6,18.6,20.6,25.5,26.6,79.1,92.1,94.6,3.6,7.9,1.4,13.7,3.3,2.7,6,5.8,7.2,13.9,6.1,11.8
"AADACL2",1.8,4.5,-0.5,-2.5,-7.4,-6.1,-2.8,-1.7,6.6,-2.3,4.6,2.6,-0.5,-1.9,-1.7,-1.5,3.8,-0.9,-1.8,4.4,5.5,0.4,-0.5,-7
"AADACL3",-8.3,-0.5,-5.2,5,3.4,-2.2,-2.8,0.6,4.4,-0.9,-0.5,0.8,-4.8,-0.3,-1.8,-0.8,13.1,-2.6,-8.5,-0.2,7.1,-0.6,-0.3,1.9
